dag_variant,algorithm,policy,width_profile,pair_count,throughput_delta_pct_median_vs_asap,stall_delta_pct_median_vs_asap,utilization_delta_pct_median_vs_asap,throughput_better_count_vs_asap,stall_better_count_vs_asap,joint_better_count_vs_asap
raw,QAOA,asap,W8_M8_F4,15,0.0,0.0,0.0,0,0,0
raw,QAOA,asap,W8_M8_F5,15,0.0,0.0,0.0,0,0,0
raw,QAOA,asap,W8_M8_F6,15,0.0,0.0,0.0,0,0,0
raw,QAOA,asap,W8_M8_F7,15,0.0,0.0,0.0,0,0,0
raw,QAOA,asap,W8_M8_F8,15,0.0,0.0,0.0,0,0,0
raw,QAOA,ff_rate_matched,W8_M8_F4,15,0.0,-23.076555,0.0,6,14,5
raw,QAOA,ff_rate_matched,W8_M8_F5,15,0.0,-6.033229,0.0,5,14,5
raw,QAOA,ff_rate_matched,W8_M8_F6,15,0.0,-2.173827,0.0,5,11,5
raw,QAOA,ff_rate_matched,W8_M8_F7,15,0.0,-1.315787,0.0,5,9,4
raw,QAOA,ff_rate_matched,W8_M8_F8,15,0.0,0.0,0.0,0,0,0
raw,QAOA,stall_aware_shifted_refined,W8_M8_F4,15,3.875972,-83.921507,3.876053,15,13,13
raw,QAOA,stall_aware_shifted_refined,W8_M8_F5,15,5.120488,-51.967882,5.120466,15,11,11
raw,QAOA,stall_aware_shifted_refined,W8_M8_F6,15,7.69231,-61.736522,7.692385,15,10,10
raw,QAOA,stall_aware_shifted_refined,W8_M8_F7,15,5.351171,-25.782241,5.351213,15,10,10
raw,QAOA,stall_aware_shifted_refined,W8_M8_F8,15,3.48839,9.758904,3.488368,15,5,5
raw,QFT,asap,W8_M8_F4,15,0.0,0.0,0.0,0,0,0
raw,QFT,asap,W8_M8_F5,15,0.0,0.0,0.0,0,0,0
raw,QFT,asap,W8_M8_F6,15,0.0,0.0,0.0,0,0,0
raw,QFT,asap,W8_M8_F7,15,0.0,0.0,0.0,0,0,0
raw,QFT,asap,W8_M8_F8,15,0.0,0.0,0.0,0,0,0
raw,QFT,ff_rate_matched,W8_M8_F4,15,0.0,-7.894258,0.0,0,13,0
raw,QFT,ff_rate_matched,W8_M8_F5,15,0.0,-4.411444,0.0,0,13,0
raw,QFT,ff_rate_matched,W8_M8_F6,15,0.0,-2.468633,0.0,0,14,0
raw,QFT,ff_rate_matched,W8_M8_F7,15,0.0,-1.063711,0.0,1,9,0
raw,QFT,ff_rate_matched,W8_M8_F8,15,0.0,0.0,0.0,0,0,0
raw,QFT,stall_aware_shifted_refined,W8_M8_F4,15,1.336573,-42.024592,1.336494,15,13,13
raw,QFT,stall_aware_shifted_refined,W8_M8_F5,15,0.825632,-41.62581,0.825652,15,15,15
raw,QFT,stall_aware_shifted_refined,W8_M8_F6,15,1.185989,-45.76286,1.185954,15,15,15
raw,QFT,stall_aware_shifted_refined,W8_M8_F7,15,1.336004,-26.852552,1.335989,15,14,14
raw,QFT,stall_aware_shifted_refined,W8_M8_F8,15,1.584907,-24.88807,1.58484,15,10,10
raw,VQE,asap,W8_M8_F4,15,0.0,0.0,0.0,0,0,0
raw,VQE,asap,W8_M8_F5,15,0.0,0.0,0.0,0,0,0
raw,VQE,asap,W8_M8_F6,15,0.0,0.0,0.0,0,0,0
