algorithm,policy,width_profile,pair_count,unique_seed_count,depth_reduction_pct_median,throughput_gain_pct_median,throughput_gain_pct_q1,throughput_gain_pct_q3,stall_reduction_pct_median,utilization_gain_pct_median,raw_throughput_median,raw_stall_rate_median,throughput_positive_count,throughput_zero_count,throughput_negative_count,throughput_sign_test_pvalue
QFT,asap,W8_M8_F8,40,5,90.652286,39.187145,17.632562,90.361461,91.246958,39.18712,5.594259,0.186947,40,0,0,0.0
QFT,greedy_critical,W8_M8_F4,40,5,90.652286,8.725967,4.065049,21.405753,-723.375763,8.725967,3.647576,0.053477,40,0,0,0.0
QFT,greedy_critical,W8_M8_F8,40,5,90.652286,37.243113,14.750008,100.0,96.658158,37.243118,5.83297,0.176444,40,0,0,0.0
QFT,regime_switch,W8_M8_F4,40,5,90.652286,8.903745,4.157538,21.725225,-722.55383,8.903732,3.647576,0.052837,40,0,0,0.0
QFT,regime_switch,W8_M8_F8,40,5,90.652286,39.187145,17.632562,90.361461,91.246958,39.18712,5.594259,0.186947,40,0,0,0.0
QFT,regime_switch_refined,W8_M8_F4,40,5,90.652286,8.903745,4.066306,21.725225,-731.404091,8.903732,3.647576,0.052035,40,0,0,0.0
QFT,regime_switch_refined,W8_M8_F8,40,5,90.652286,37.077878,16.109082,95.757585,95.936887,37.077882,5.757148,0.177436,40,0,0,0.0
QFT,shifted_critical,W8_M8_F4,40,5,90.652286,8.903745,4.065049,21.725225,-719.104833,8.903732,3.647576,0.053509,40,0,0,0.0
QFT,shifted_critical,W8_M8_F8,40,5,90.652286,37.243113,14.750008,100.0,96.687216,37.243118,5.83297,0.176444,40,0,0,0.0
QFT,stall_aware_shifted,W8_M8_F4,40,5,90.652286,8.899451,4.252655,21.725225,-707.364775,8.899477,3.646489,0.054078,40,0,0,0.0
QFT,stall_aware_shifted,W8_M8_F8,40,5,90.652286,37.243113,14.750008,100.0,96.687216,37.243118,5.83297,0.176444,40,0,0,0.0
VQE,asap,W8_M8_F4,60,5,97.142857,4.892963,1.994915,18.758502,-1554.983041,4.893045,3.778426,0.026239,60,0,0,0.0
VQE,asap,W8_M8_F8,60,5,97.142857,18.181809,7.563785,63.397674,85.22748,18.181829,6.646154,0.082051,60,0,0,0.0
VQE,greedy_critical,W8_M8_F4,60,5,97.142857,3.363908,1.051655,12.743115,-3461.214152,3.363934,3.83432,0.012622,60,0,0,0.0
VQE,greedy_critical,W8_M8_F8,60,5,97.142857,0.0,0.0,55.057923,0.0,0.0,7.854545,0.012121,25,35,0,0.0
VQE,regime_switch,W8_M8_F4,60,5,97.142857,4.587154,2.092236,14.258274,-1621.976952,4.587235,3.789474,0.02924,60,0,0,0.0
VQE,regime_switch,W8_M8_F8,60,5,97.142857,18.181809,7.563785,63.397674,85.22748,18.181829,6.646154,0.082051,60,0,0,0.0
VQE,regime_switch_refined,W8_M8_F4,60,5,97.142857,3.975531,1.441134,12.743115,-2138.761276,3.975585,3.811897,0.024621,60,0,0,0.0
VQE,regime_switch_refined,W8_M8_F8,60,5,97.142857,9.673945,1.653697,62.046331,72.580282,9.673929,7.14055,0.047646,45,15,0,0.0
VQE,shifted_critical,W8_M8_F4,60,5,97.142857,3.363908,1.051655,12.743115,-3870.377228,3.363934,3.83432,0.012622,60,0,0,0.0
VQE,shifted_critical,W8_M8_F8,60,5,97.142857,0.0,0.0,55.057923,0.0,0.0,7.854545,0.012121,25,35,0,0.0
VQE,stall_aware_shifted,W8_M8_F4,60,5,97.142857,5.198779,2.384215,16.508381,-1458.842293,5.198862,3.767442,0.031977,60,0,0,0.0
VQE,stall_aware_shifted,W8_M8_F8,60,5,97.142857,0.0,0.0,55.057923,0.0,0.0,7.854545,0.012121,25,35,0,0.0
